Timestamp,Trade Close
7/20/2022,287.67
7/19/2022,288.13
7/18/2022,279.21
7/15/2022,263.72
7/14/2022,237.81
7/13/2022,224.07
7/12/2022,227.65
7/11/2022,237.14
7/8/2022,242.06
7/7/2022,240.55
7/6/2022,233.12
7/5/2022,223.49
7/4/2022,222.15
7/1/2022,212.04
6/30/2022,209.62
6/29/2022,223.19
6/28/2022,231.37
6/27/2022,229.56
6/24/2022,238.85
6/23/2022,225.53
6/22/2022,225.94
6/21/2022,231.2
6/20/2022,209.37
6/17/2022,195.31
6/16/2022,195.71
6/15/2022,196.21
6/14/2022,196.21
6/13/2022,199.67
6/10/2022,271.95
6/9/2022,286.65
6/8/2022,290.12
6/7/2022,287.46
6/6/2022,305.34
6/3/2022,289.05
6/2/2022,295.61
6/1/2022,320.73
5/31/2022,321.54
5/30/2022,313.59
5/27/2022,284.15
5/26/2022,291.41
5/25/2022,306.54
5/24/2022,297.36
5/23/2022,330.91
5/20/2022,313.32
5/19/2022,297.98
5/18/2022,302.03
5/17/2022,317.05
5/16/2022,298.6
5/13/2022,316.97
5/12/2022,268.3
5/11/2022,329.15
5/10/2022,366.65
5/9/2022,377.57
5/6/2022,424.28
5/5/2022,466.14
5/4/2022,452.94
5/3/2022,452.45
5/2/2022,455.62
4/29/2022,510.36
4/28/2022,525.02
4/27/2022,531.02
4/26/2022,548.65
4/25/2022,525.55
4/22/2022,530.32
4/21/2022,559.04
4/20/2022,542.67
4/19/2022,529.27
4/18/2022,501.25
4/15/2022,528.35
4/14/2022,533.51
4/13/2022,513.11
4/12/2022,508.76
4/11/2022,507.63
4/8/2022,560.59
4/7/2022,548.69
4/6/2022,554.7
4/5/2022,605.26
4/4/2022,612.91
4/1/2022,611.95
3/31/2022,594.99
3/30/2022,604.29
3/29/2022,597.85
3/28/2022,566.46
3/25/2022,515.81
3/24/2022,500.97
3/23/2022,489.69
3/22/2022,497.7
3/21/2022,482.56
3/18/2022,472.86
3/17/2022,466.82
3/16/2022,434.72
3/15/2022,419.98
3/14/2022,417.66
3/11/2022,427.78
3/10/2022,427.74
3/9/2022,456.59
3/8/2022,434.67
3/7/2022,427.92
3/4/2022,451.99
3/3/2022,478.3
3/2/2022,489.77
3/1/2022,490.28
2/28/2022,443.59
2/25/2022,443.89
2/24/2022,393.01
2/23/2022,452.9
2/22/2022,435.84
2/21/2022,453.19
2/18/2022,491.31
2/17/2022,517.65
2/16/2022,521.48
2/15/2022,523.06
2/14/2022,493.97
2/11/2022,539.16
2/10/2022,535.16
2/9/2022,558.84
2/8/2022,544.75
2/7/2022,556.53
2/4/2022,505.18
2/3/2022,490.69
2/2/2022,512.55
2/1/2022,519.54
1/31/2022,484.89
1/28/2022,453.98
1/27/2022,472.7
1/26/2022,490.79
1/25/2022,465.95
1/24/2022,412.2
1/21/2022,538.17
1/20/2022,618.61
1/19/2022,610.28
1/18/2022,622
1/17/2022,652.18
1/14/2022,636.71
1/13/2022,659.23
1/12/2022,651.91
1/11/2022,607.23
1/10/2022,588.26
1/7/2022,653.67
1/6/2022,683.31
1/5/2022,773.66
1/4/2022,791.84
1/3/2022,793.41
12/31/2021,742.95
12/30/2021,700.57
12/29/2021,691.07
12/28/2021,718.84
12/27/2021,775.18
12/24/2021,727.91
12/23/2021,696.35
12/22/2021,665.15
12/21/2021,623.62
12/20/2021,586.62
12/17/2021,573.72
12/16/2021,605.29
12/15/2021,568.05
12/14/2021,550.35
12/13/2021,574.76
12/10/2021,607.1
12/9/2021,634.37
12/8/2021,651.16
12/7/2021,644.59
12/6/2021,581.59
12/3/2021,766.01
12/2/2021,776.76
12/1/2021,810.44
11/30/2021,800.15
11/29/2021,760.45
11/26/2021,755.03
11/25/2021,828.87
11/24/2021,759.19
